atlas	provincia	id	poblacion	latitud	longitud	CCAA
ADIM	Madrid	M1	Mangirón	40.9640834	-3.587009	Madrid
ADIM	Madrid	M2	Buitrago de Lozoya	40.9872881	-3.646177	Madrid
ADIM	Madrid	M3	Lozoya	40.9555018	-3.7992945	Madrid
ADIM	Madrid	M4	Patones	40.8546382	-3.4893056	Madrid
ADIM	Madrid	M5	Navacerrada	40.7264461	-4.0219211	Madrid
ADIM	Madrid	M6	El Boalo	40.7172165	-3.9199126	Madrid
ADIM	Madrid	M7	Alalpardo	40.6281985	-3.4807234	Madrid
ADIM	Madrid	M8	Meco	40.5512194	-3.3380198	Madrid
ADIM	Madrid	M9	Santa María de la Alameda	40.5978246	-4.2629201	Madrid
ADIM	Madrid	M10	Valdemorillo	40.4864998	-4.0912238	Madrid
ADIM	Madrid	M11	Robledo de Chavela	40.5019548	-4.2438566	Madrid
ADIM	Madrid	M12	San Martín de Valdeiglesias	40.3646549	-4.4098873	Madrid
ADIM	Madrid	M13	Carabaña	40.2577142	-3.2463598	Madrid
ADIM	Madrid	M14	Cenicientos	40.2632617	-4.4704822	Madrid
ADIM	Madrid	M15	Cubas de la Sagra	40.1933471	-3.8453605	Madrid
ADIM	Madrid	M16	Colmenar de Oreja	40.1089848	-3.3934674	Madrid
ALCLM	Albacete	AB103	La Roda	39.0013	-1.868604	Castilla La Mancha
ALCLM	Albacete	AB206	Balsa de Ves	39.26442	-1.195344	Castilla La Mancha
ALCLM	Albacete	AB207	Villamalea	39.36189	-1.599296	Castilla La Mancha
ALCLM	Albacete	AB208	Alcalá del Júcar	39.19346	-1.429671	Castilla La Mancha
ALCLM	Albacete	AB209	Navas de Jorquera	39.28074	-1.71904	Castilla La Mancha
ALCLM	Albacete	AB210	Carcelén	39.10189	-1.308891	Castilla La Mancha
ALCLM	Albacete	AB211	Motilleja	39.1806	-1.791874	Castilla La Mancha
ALCLM	Albacete	AB213	Casas de Juan Núñez	39.10187	-1.557571	Castilla La Mancha
ALCLM	Albacete	AB304	Albacete	38.99765	-1.86007	Castilla La Mancha
ALCLM	Albacete	AB306	Balazote	38.88408	-2.150826	Castilla La Mancha
ALCLM	Albacete	AB307	El Bonillo	38.95073	-2.539598	Castilla La Mancha
ALCLM	Albacete	AB308	Masegoso	38.71841	-2.315899	Castilla La Mancha
ALCLM	Albacete	AB309	Alcaraz	38.66966	-2.492647	Castilla La Mancha
