id	poblacion	provincia	pregunta	ortografia	afi
100	Sismundi	La Coruña	Guisantes	garavanzos	xʰaɾaˈβãnθos̺
100	Sismundi	La Coruña	Mariquita	pampurriña	pãmpuˈrĩɲɐ̃
100	Sismundi	La Coruña	Lagartija	lagartixa	laxʰaɾˈtiʃɐ
100	Sismundi	La Coruña	Aguzanieves	lavandeira	laβãnˈdɛjɾɐ
100	Sismundi	La Coruña	Cadera	cadril	kaˈðɾil
100	Sismundi	La Coruña	Cuna	berce	ˈbɛɾθe
100	Sismundi	La Coruña	Llevar a cuestas	as costas	as̺ ˈkɔs̺tɐs̺
100	Sismundi	La Coruña	Dar volteretas	revirar a forcadela	reβiˈɾal a ɸoɾkaˈðɛlɐ
100	Sismundi	La Coruña	Levadura	formento	foɾˈmẽnto
100	Sismundi	La Coruña	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
101	Valdoviño	La Coruña	Cadera	cadeira	kaˈðɛjɾɐ
101	Valdoviño	La Coruña	Guisantes	garavanzos	xʰaɾaˈβãnθos̺
101	Valdoviño	La Coruña	Mariquita	rei	ˈrɛj
101	Valdoviño	La Coruña	Lagartija	lagartuxa	lɑxʰaɾˈtuʃɐ̥
101	Valdoviño	La Coruña	Aguzanieves	lavandeira	laβãnˈdɛjɾɐ
101	Valdoviño	La Coruña	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
101	Valdoviño	La Coruña	Cuna	berce	ˈbɛɾθe
101	Valdoviño	La Coruña	Llevar a cuestas	levar ás costas	løˈβaɹ as̺ ˈkɔs̺tɐs̺
101	Valdoviño	La Coruña	Dar volteretas	virar a forcadela	biˈɾal a ɸoɾkaˈðɛlɐ
101	Valdoviño	La Coruña	Levadura	fermento	feɾˈmẽnto
102	Miño	La Coruña	Guisantes	garvanzos	ɡaɾˈβãnθos̺
102	Miño	La Coruña	Mariquita	rei	ˈrɛj
102	Miño	La Coruña	Lagartija	lagartiña	laɣaɾˈtĩɲã
102	Miño	La Coruña	Aguzanieves	lavandeira	laβãnˈdɛjɾɐ
102	Miño	La Coruña	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
102	Miño	La Coruña	Cadera	cadeira	kaˈðɛjɾa
102	Miño	La Coruña	Cuna	berce	ˈbɛɾθe
102	Miño	La Coruña	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tas̺
102	Miño	La Coruña	Dar volteretas	dar pinchacarneiros	ˈdaɹ ˈpĩɲt͡ʃakaɾˈnɛ̃jɾos̺
102	Miño	La Coruña	Levadura	fermento	ɸeɾˈmɛ̃nto
102	Miño	La Coruña	Guisantes	tirabeques	tiɾaˈβɛkes̺
103	Santa María de Oleiros	La Coruña	Cadera	cadera	kaˈðɛɾa
103	Santa María de Oleiros	La Coruña	Guisantes	ervellas	eɾˈβeʎæs̺
103	Santa María de Oleiros	La Coruña	Mariquita	rei	ˈrɛj
103	Santa María de Oleiros	La Coruña	Lagartija	lagarta	laˈxɑɾtɐ
103	Santa María de Oleiros	La Coruña	Aguzanieves	lavandeira	laβãnˈdɛjɹɐ
103	Santa María de Oleiros	La Coruña	Jabalí	cocho bravo	ˈkɔt͡ʃo ˈβɾaβo
103	Santa María de Oleiros	La Coruña	Cuna	berce	ˈbɛɾθə
103	Santa María de Oleiros	La Coruña	Llevar a cuestas	levar ao lombo	leˈβaɹ ɔ ˈlõmβo
103	Santa María de Oleiros	La Coruña	Dar volteretas	dar pinchacarneiros	ˈdaɾ pĩɲt͡ʃakaɾˈnẽjɹos̺
103	Santa María de Oleiros	La Coruña	Levadura	fermento	ɸoɾˈmẽnto
103	Santa María de Oleiros	La Coruña	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tas̺
104	Abegondo	La Coruña	Cadera	cadeira	kaˈðejɹɐ
104	Abegondo	La Coruña	Guisantes	garavanzos	xaɾaˈβãnθos̺
104	Abegondo	La Coruña	Mariquita	costureira	kus̺tuˈɾɛjɹɐ
104	Abegondo	La Coruña	Lagartija	NA	NA
104	Abegondo	La Coruña	Aguzanieves	lavandeira	laβãnˈdɛjɹɐ
104	Abegondo	La Coruña	Jabalí	jabalín	xɑβɘˈlĩŋ
104	Abegondo	La Coruña	Cuna	berce	ˈbɛɾθə
104	Abegondo	La Coruña	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tɐs̺
104	Abegondo	La Coruña	Dar volteretas	dar pinchacarneiros	ˈdaɹ pĩɲt͡ʃakaɾˈnɛ̃jɹos̺
104	Abegondo	La Coruña	Levadura	felmento	felˈmẽnto
104	Abegondo	La Coruña	Guisantes	chícharos	ˈt͡ʃit͡ʃɐɾos̺
105	Aranga	La Coruña	Guisantes	garavanzos	xaɾɐˈβãnθos̺
105	Aranga	La Coruña	Mariquita	rei	ˈrɛj
105	Aranga	La Coruña	Lagartija	lagartixa	laɣaɾˈtiʃɐ
105	Aranga	La Coruña	Aguzanieves	lavandeira	laβãnˈdejɾɐ
105	Aranga	La Coruña	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
105	Aranga	La Coruña	Cadera	cadera	kaˈðɛɾɐ
105	Aranga	La Coruña	Cuna	berce	ˈbɛɾθi
105	Aranga	La Coruña	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tɐs̺
105	Aranga	La Coruña	Dar volteretas	dar pinchecarneiros	ˈdaɹ pĩɲt͡ʃekaɾˈnẽjɾos̺
105	Aranga	La Coruña	Levadura	fermento	ɸoɾˈmẽnto
105	Aranga	La Coruña	Guisantes	chícharos	ˈt͡ʃit͡ʃɐɾos̺
105	Aranga	La Coruña	Llevar a cuestas	levar ao lombo	leˈβaɹ ɔ ˈlõmbo
105	Aranga	La Coruña	Guisantes	tirabeques	tiɾaˈβɛkɘs̺
106	Baio	La Coruña	Levadura	fermento	ɸoɾˈmẽnto
106	Baio	La Coruña	Guisantes	garavanzos	xʰaɹɐˈβãns̺oʃ
106	Baio	La Coruña	Mariquita	rubia	ˈruβjɐ
106	Baio	La Coruña	Lagartija	lagarta	laˈxʰaɹtɐ
106	Baio	La Coruña	Aguzanieves	lavandeira	laβãnˈdejɹa
106	Baio	La Coruña	Jabalí	porco bravo	ˈpɔɹko ˈβɾaβo
106	Baio	La Coruña	Cadera	cadeira	kɐˈðejɹɐ
106	Baio	La Coruña	Cuna	berce	ˈbɛɾs̺i̥
